coq	icoa	"field the register does not hold — printed as ""—"""
CoQ-PP_26-018	iCoA-PP_26-018	test date
CoQ-PP_26-021	iCoA-PP_26-021	phenotype — no box ticked
CoQ-PP_26-021	iCoA-PP_26-021	product code
CoQ-PP_26-021	iCoA-PP_26-021	specification reference
CoQ-PP_26-046	iCoA-PP_26-046	phenotype — no box ticked
CoQ-PP_26-046	iCoA-PP_26-046	product code
CoQ-PP_26-046	iCoA-PP_26-046	specification reference
CoQ-PP_26-050	iCoA-PP_26-050	phenotype — no box ticked
CoQ-PP_26-050	iCoA-PP_26-050	product code
CoQ-PP_26-050	iCoA-PP_26-050	specification reference
CoQ-PP_26-068	iCoA-PP_26-068	phenotype — no box ticked
CoQ-PP_26-068	iCoA-PP_26-068	product code
CoQ-PP_26-068	iCoA-PP_26-068	specification reference
CoQ-PP_26-073	iCoA-PP_26-073	phenotype — no box ticked
CoQ-PP_26-073	iCoA-PP_26-073	product code
CoQ-PP_26-073	iCoA-PP_26-073	specification reference
